"filename", "language", "C++", "YAML", "Markdown", "JSON", "Swift", "Dart", "HTML", "XML", "Gradle", "Properties", "Java", "comment", "blank", "total"
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\rating\viewpage\ratingsview.dart", "Dart", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 5, 55
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\rating\viewpage\view_rating_page.dart", "Dart", 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 0, 5, 112
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\rating\widgets\rating.dart", "Dart", 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 3, 100
"c:\Users\ferna\development\flutter\gymapp\lib\pages\gyms_page\widgets\rating\widgets\ratingdetail.dart", "Dart", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 3, 55
"c:\Users\ferna\development\flutter\gymapp\lib\pages\help\help.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\ferna\development\flutter\gymapp\lib\pages\home_page\homepage.dart", "Dart", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 4, 31
"c:\Users\ferna\development\flutter\gymapp\lib\pages\settings\settings.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\ferna\development\flutter\gymapp\lib\pages\suggestion.dart\suggestion.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\ferna\development\flutter\gymapp\lib\widgets\crawltext.dart", "Dart", 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 7, 63
"c:\Users\ferna\development\flutter\gymapp\lib\widgets\filterbar.dart", "Dart", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\ferna\development\flutter\gymapp\lib\widgets\infobutton.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 3, 37
"c:\Users\ferna\development\flutter\gymapp\linux\flutter\generated_plugin_registrant.cc", "C++", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\ferna\development\flutter\gymapp\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\ferna\development\flutter\gymapp\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\ferna\development\flutter\gymapp\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\ferna\development\flutter\gymapp\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\ferna\development\flutter\gymapp\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 4, 29
"c:\Users\ferna\development\flutter\gymapp\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ferna\development\flutter\gymapp\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\ferna\development\flutter\gymapp\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\ferna\development\flutter\gymapp\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 1, 344
"c:\Users\ferna\development\flutter\gymapp\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\ferna\development\flutter\gymapp\macos\firebase_app_id_file.json", "JSON", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
